booking_id,booking_id_string,county_name,booking_timestamp,release_timestamp,known_misdemeanor
1,2017-10-30 14:57:32 est | 109258,athens-clarke,2017-10-30 14:57:32 est,2017-10-31 13:50:00 est,1
2,2017-10-29 04:51:28 est | 34111,athens-clarke,2017-10-29 04:51:28 est,2017-10-29 09:11:00 est,1
3,2017-10-27 00:44:30 est | 126917,athens-clarke,2017-10-27 00:44:30 est,2017-10-27 18:08:00 est,1
4,2017-10-26 15:30:41 est | 126898,athens-clarke,2017-10-26 15:30:41 est,2017-10-26 21:40:00 est,1
5,2017-10-28 22:04:29 est | 126964,athens-clarke,2017-10-28 22:04:29 est,2017-10-29 14:08:00 est,1
6,2017-10-30 17:07:55 est | 120988,athens-clarke,2017-10-30 17:07:55 est,2017-10-31 16:52:00 est,1
7,2017-10-27 19:00:08 est | 70255,athens-clarke,2017-10-27 19:00:08 est,,1
8,2017-10-30 20:34:35 est | 96167,athens-clarke,2017-10-30 20:34:35 est,,1
9,2017-10-28 04:27:34 est | 126951,athens-clarke,2017-10-28 04:27:34 est,2017-10-28 06:11:00 est,1
10,2017-10-31 17:37:12 est | 119743,athens-clarke,2017-10-31 17:37:12 est,2017-11-05 09:02:00 est,1
11,2017-10-30 18:53:08 est | 79547,athens-clarke,2017-10-30 18:53:08 est,,1
12,2017-10-29 00:18:47 est | 75177,athens-clarke,2017-10-29 00:18:47 est,2017-10-29 17:30:00 est,1
13,2017-10-28 01:40:47 est | 51483,athens-clarke,2017-10-28 01:40:47 est,,1
14,2017-10-27 15:24:18 est | 86038,athens-clarke,2017-10-27 15:24:18 est,,1
15,2017-10-28 00:26:24 est | 121017,athens-clarke,2017-10-28 00:26:24 est,,1
16,2017-10-27 13:00:00 est | 127011,athens-clarke,2017-10-27 13:00:00 est,,1
17,2017-10-29 02:05:54 est | 126968,athens-clarke,2017-10-29 02:05:54 est,2017-10-29 05:03:00 est,1
18,2017-10-27 21:57:18 est | 73109,athens-clarke,2017-10-27 21:57:18 est,,1
19,2017-10-28 20:17:08 est | 126960,athens-clarke,2017-10-28 20:17:08 est,2017-10-29 12:43:00 est,1
20,2017-10-27 11:43:38 est | 70257,athens-clarke,2017-10-27 11:43:38 est,,1
21,2017-10-28 15:57:21 est | 72811,athens-clarke,2017-10-28 15:57:21 est,2017-10-30 23:37:00 est,0
22,2017-10-26 18:33:41 est | 113830,athens-clarke,2017-10-26 18:33:41 est,,1
23,2017-10-31 11:41:48 est | 41844,athens-clarke,2017-10-31 11:41:48 est,2017-10-31 15:10:00 est,1
24,2017-10-31 11:36:54 est | 106559,athens-clarke,2017-10-31 11:36:54 est,2017-11-01 14:35:00 est,1
25,2017-10-29 05:26:43 est | 126977,athens-clarke,2017-10-29 05:26:43 est,2017-10-29 08:52:00 est,1
26,2017-10-27 00:25:42 est | 97192,athens-clarke,2017-10-27 00:25:42 est,,0
27,2017-10-25 09:56:28 est | 74758,athens-clarke,2017-10-25 09:56:28 est,2017-10-26 18:51:00 est,1
28,2017-10-27 20:50:33 est | 126938,athens-clarke,2017-10-27 20:50:33 est,2017-11-01 13:34:00 est,1
29,2017-10-27 16:10:29 est | 126929,athens-clarke,2017-10-27 16:10:29 est,2017-10-27 18:34:00 est,1
30,2017-10-29 04:02:59 est | 32233,athens-clarke,2017-10-29 04:02:59 est,2017-10-29 13:01:00 est,1
31,2017-10-29 02:06:45 est | 126967,athens-clarke,2017-10-29 02:06:45 est,2017-11-01 11:01:00 est,0
32,2017-10-25 20:18:13 est | 97494,athens-clarke,2017-10-25 20:18:13 est,2017-10-27 16:56:00 est,0
33,2017-10-25 15:13:52 est | 126885,athens-clarke,2017-10-25 15:13:52 est,2017-10-25 17:15:00 est,1
34,2017-10-28 02:48:57 est | 68375,athens-clarke,2017-10-28 02:48:57 est,2017-10-28 11:17:00 est,1
35,2017-10-27 14:33:19 est | 126922,athens-clarke,2017-10-27 14:33:19 est,2017-10-28 14:55:00 est,1
36,2017-10-28 23:45:50 est | 119158,athens-clarke,2017-10-28 23:45:50 est,,1
37,2017-10-29 05:52:11 est | 126979,athens-clarke,2017-10-29 05:52:11 est,2017-10-29 14:14:00 est,1
38,2017-10-28 05:43:21 est | 126953,athens-clarke,2017-10-28 05:43:21 est,2017-10-29 15:19:00 est,1
39,2017-10-27 18:22:20 est | 120232,athens-clarke,2017-10-27 18:22:20 est,2017-10-28 17:43:00 est,1
40,2017-10-30 23:05:02 est | 74130,athens-clarke,2017-10-30 23:05:02 est,,1
41,2017-10-28 02:44:47 est | 126947,athens-clarke,2017-10-28 02:44:47 est,2017-10-28 13:35:00 est,1
42,2017-10-29 10:59:42 est | 96291,athens-clarke,2017-10-29 10:59:42 est,2017-10-29 20:51:00 est,1
43,2017-10-26 03:13:10 est | 126894,athens-clarke,2017-10-26 03:13:10 est,2017-10-26 12:29:00 est,1
44,2017-10-26 23:10:58 est | 126914,athens-clarke,2017-10-26 23:10:58 est,2017-10-27 08:45:00 est,1
45,2017-10-29 06:14:05 est | 121054,athens-clarke,2017-10-29 06:14:05 est,2017-10-29 16:18:00 est,1
46,2017-10-27 11:12:28 est | 88833,athens-clarke,2017-10-27 11:12:28 est,2017-11-01 13:31:00 est,1
47,2017-10-29 10:20:00 est | 54390,athens-clarke,2017-10-29 10:20:00 est,2017-10-29 11:10:00 est,1
48,2017-10-31 10:46:24 est | 104208,athens-clarke,2017-10-31 10:46:24 est,2017-11-03 17:52:00 est,1
49,2017-10-25 21:15:05 est | 99876,athens-clarke,2017-10-25 21:15:05 est,2017-10-26 22:19:00 est,1
